event_id,task_id,event_date,asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality_score,asset_criticality,scheduled_services_count_proxy,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_30d,failures_last_90d,failures_last_365d,same_defect_recurrences_365d,defect_type,officer_observation,defect_duration_days,inspection_image_available,defect_severity_label,real_section_code,real_daily_train_count,real_criticality_score,is_real_traffic_data
EVT-0000001,EVT-0000001,2025-01-01,AST-001238,S&T,Colour Light Signal,movement authority indication,SIKD,SIKRODA KWANRI,NCR,Madhya Pradesh,SEC-SIKD-HET,8.4,86.1,CRITICAL,155,2,False,101,30,67,37,0,0,0,0,LED aspect partial failure,measurable deterioration; LED aspect partial failure.,2.0,True,MEDIUM,SIKD_MRA,3,0.2616,True
EVT-0000002,EVT-0000002,2025-01-01,AST-001877,Engineering,Bridge/Culvert,structural route continuity,KSNG,KESINGA,ECoR,Orissa,SEC-KSNG-TIG,8.0,64.5,HIGH,34,4,True,20,90,201,111,0,0,0,0,structural crack indication,significant defect observed; structural crack indication.,7.2,True,HIGH,KSNG_RGDA,3,0.2616,True
EVT-0000003,EVT-0000003,2025-01-01,AST-000947,S&T,Colour Light Signal,movement authority indication,DRV,DARAULI,ECR,Uttar Pradesh,SEC-DRV-ZNA,10.8,88.8,CRITICAL,139,2,False,78,30,12,0,0,0,0,0,signal dark/intermittent,clear degradation; signal dark/intermittent.,3.5,False,MEDIUM,DRV_DLN,6,0.3673,True
EVT-0000004,EVT-0000004,2025-01-01,AST-003140,Engineering,Points & Crossing,route setting and derailment prevention,HG,HOTGI,SWR,Karnataka,SEC-HG-TLT,5.6,76.2,HIGH,79,4,True,27,14,8,0,0,0,0,0,switch rail gap,slight deviation observed; switch rail gap.,0.7,False,LOW,HG_SUR,6,0.3673,True
EVT-0000005,EVT-0000005,2025-01-01,AST-002135,Engineering,Sleeper/Fastening Zone,track gauge and stability,MRPR,MAU RANIPUR,NCR,Uttar Pradesh,SEC-MRPR-RORA,10.4,53.3,MEDIUM,22,2,True,9,30,12,0,0,0,0,0,missing/loose fastening,significant defect observed; missing/loose fastening.,8.5,True,HIGH,JHS_MRPR,2,0.2074,True
EVT-0000006,EVT-0000006,2025-01-01,AST-001261,Engineering,Sleeper/Fastening Zone,track gauge and stability,GNHI,GANDHI HALT,ECR,Bihar,SEC-GNHI-PATL,12.8,63.4,HIGH,49,6,True,23,30,47,17,0,0,0,0,broken sleeper cluster,measurable deterioration; broken sleeper cluster.,6.0,False,MEDIUM,SYNTHETIC_FALLBACK,49,0.634,False
EVT-0000007,EVT-0000007,2025-01-01,AST-001367,Engineering,Ballast/Formation Zone,track geometry and drainage,BYT,BHATAPARA,SECR,Chhattisgarh,SEC-BYT-NPI,17.6,55.8,MEDIUM,104,2,True,32,60,17,0,0,0,0,0,formation settlement,slight deviation observed; formation settlement.,0.8,True,LOW,R_BYT,20,0.5746,True
EVT-0000008,EVT-0000008,2025-01-01,AST-002740,Traction,Cantilever Assembly,OHE geometry,CQL,CHIRAKKAL,SR,Kerala,SEC-CQL-VAPM,1.4,55.1,MEDIUM,70,2,True,22,30,77,47,0,0,0,0,geometry deviation,intermittent abnormality; geometry deviation.,2.9,True,MEDIUM,CQL_VAPM,3,0.2616,True
EVT-0000009,EVT-0000009,2025-01-01,AST-003131,Engineering,Points & Crossing,route setting and derailment prevention,MQN,MANYAMKONDA,SCR,Andhra Pradesh,SEC-MQN-KTKA,12.5,72.0,HIGH,38,2,False,24,14,41,27,0,0,0,0,crossing nose wear,measurable deterioration; crossing nose wear.,2.5,False,MEDIUM,MQN_KTKA,4,0.3038,True
EVT-0000010,EVT-0000010,2025-01-01,AST-001794,Traction,OHE Contact/Catenary,traction power collection,BGS,BEGU SARAI,ECR,Bihar,SEC-BGS-TIL,3.6,69.6,HIGH,81,4,True,37,30,47,17,0,0,0,0,sag/height deviation,clear degradation; sag/height deviation.,0.8,True,MEDIUM,BGS_LKN,6,0.3673,True
