event_id,event_date,asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality_score,asset_criticality,scheduled_services_count_proxy,traffic_percentile,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,operational_impact_score,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_30d,failures_last_90d,failures_last_365d,same_defect_recurrences_365d,defect_type,officer_observation,defect_duration_days,inspection_image_available,defect_severity_label,failure_within_30d_target,maintenance_duration_hours_target,priority_score_target,priority_class_target,block_required_target
EVT-0000001,2025-01-01,AST-001238,S&T,Colour Light Signal,movement authority indication,SIKD,SIKRODA KWANRI,NCR,Madhya Pradesh,SEC-SIKD-HET,8.4,86.1,CRITICAL,155,0.9499,2,False,101,81.8,30,67,37,0,0,0,0,LED aspect partial failure,measurable deterioration; LED aspect partial failure.,2.0,True,MEDIUM,False,2.93,38,MEDIUM,False
EVT-0000002,2025-01-01,AST-001877,Engineering,Bridge/Culvert,structural route continuity,KSNG,KESINGA,ECoR,Orissa,SEC-KSNG-TIG,8.0,64.5,HIGH,34,0.5479,4,True,20,50.3,90,201,111,0,0,0,0,structural crack indication,significant defect observed; structural crack indication.,7.2,True,HIGH,True,8.18,54,HIGH,True
EVT-0000003,2025-01-01,AST-000947,S&T,Colour Light Signal,movement authority indication,DRV,DARAULI,ECR,Uttar Pradesh,SEC-DRV-ZNA,10.8,88.8,CRITICAL,139,0.9256,2,False,78,81.1,30,12,0,0,0,0,0,signal dark/intermittent,clear degradation; signal dark/intermittent.,3.5,False,MEDIUM,False,3.29,38,MEDIUM,False
EVT-0000004,2025-01-01,AST-003140,Engineering,Points & Crossing,route setting and derailment prevention,HG,HOTGI,SWR,Karnataka,SEC-HG-TLT,5.6,76.2,HIGH,79,0.7676,4,True,27,65.3,14,8,0,0,0,0,0,switch rail gap,slight deviation observed; switch rail gap.,0.7,False,LOW,False,2.62,17,LOW,False
EVT-0000005,2025-01-01,AST-002135,Engineering,Sleeper/Fastening Zone,track gauge and stability,MRPR,MAU RANIPUR,NCR,Uttar Pradesh,SEC-MRPR-RORA,10.4,53.3,MEDIUM,22,0.4412,2,True,9,33.6,30,12,0,0,0,0,0,missing/loose fastening,significant defect observed; missing/loose fastening.,8.5,True,HIGH,False,8.0,38,MEDIUM,False
EVT-0000006,2025-01-01,AST-001261,Engineering,Sleeper/Fastening Zone,track gauge and stability,GNHI,GANDHI HALT,ECR,Bihar,SEC-GNHI-PATL,12.8,63.4,HIGH,49,0.6472,6,True,23,59.4,30,47,17,0,0,0,0,broken sleeper cluster,measurable deterioration; broken sleeper cluster.,6.0,False,MEDIUM,True,5.89,33,MEDIUM,False
EVT-0000007,2025-01-01,AST-001367,Engineering,Ballast/Formation Zone,track geometry and drainage,BYT,BHATAPARA,SECR,Chhattisgarh,SEC-BYT-NPI,17.6,55.8,MEDIUM,104,0.8436,2,True,32,56.3,60,17,0,0,0,0,0,formation settlement,slight deviation observed; formation settlement.,0.8,True,LOW,False,3.4,31,MEDIUM,False
EVT-0000008,2025-01-01,AST-002740,Traction,Cantilever Assembly,OHE geometry,CQL,CHIRAKKAL,SR,Kerala,SEC-CQL-VAPM,1.4,55.1,MEDIUM,70,0.7353,2,True,22,50.2,30,77,47,0,0,0,0,geometry deviation,intermittent abnormality; geometry deviation.,2.9,True,MEDIUM,False,1.94,25,LOW,False
EVT-0000009,2025-01-01,AST-003131,Engineering,Points & Crossing,route setting and derailment prevention,MQN,MANYAMKONDA,SCR,Andhra Pradesh,SEC-MQN-KTKA,12.5,72.0,HIGH,38,0.5758,2,False,24,57.7,14,41,27,0,0,0,0,crossing nose wear,measurable deterioration; crossing nose wear.,2.5,False,MEDIUM,False,4.46,39,MEDIUM,True
EVT-0000010,2025-01-01,AST-001794,Traction,OHE Contact/Catenary,traction power collection,BGS,BEGU SARAI,ECR,Bihar,SEC-BGS-TIL,3.6,69.6,HIGH,81,0.7777,4,True,37,64.2,30,47,17,0,0,0,0,sag/height deviation,clear degradation; sag/height deviation.,0.8,True,MEDIUM,False,5.58,29,LOW,False
EVT-0000011,2025-01-01,AST-001003,Traction,OHE Contact/Catenary,traction power collection,BDWD,BODWAD,CR,Maharashtra,SEC-BDWD-KMKD,1.8,65.6,HIGH,89,0.8009,2,True,31,56.4,30,56,26,0,0,0,0,sag/height deviation,clear degradation; sag/height deviation.,1.9,True,MEDIUM,False,6.45,41,MEDIUM,False
EVT-0000012,2025-01-01,AST-000743,Engineering,Rail/Track Section,direct train running safety,BTHL,BITHAULI,ECR,Bihar,SEC-BTHL-SAI,6.8,72.5,HIGH,88,0.7972,3,True,37,62.0,30,15,0,0,0,0,0,surface shelling/squat,early wear indication; surface shelling/squat.,0.6,True,LOW,False,3.14,36,MEDIUM,False
EVT-0000013,2025-01-01,AST-001704,Engineering,Bridge/Culvert,structural route continuity,APR,ANUPPUR JN,SECR,Madhya Pradesh,SEC-APR-MZH,7.0,62.0,HIGH,18,0.3888,3,True,5,36.9,90,139,49,0,0,0,0,bearing distress,measurable deterioration; bearing distress.,3.6,False,MEDIUM,False,4.03,42,MEDIUM,False
EVT-0000014,2025-01-01,AST-002220,S&T,Track Circuit,train detection,KHAT,KHAT,SECR,Maharashtra,SEC-KHAT-RRL,19.6,80.3,CRITICAL,81,0.7777,2,False,47,70.8,30,73,43,0,0,0,0,insulation degradation,significant defect observed; insulation degradation.,9.0,True,HIGH,False,6.09,59,HIGH,False
EVT-0000015,2025-01-02,AST-001232,Traction,Section Insulator,electrical sectioning,MWM,MALLESWARAM,SWR,Karnataka,SEC-MWM-YPR,6.6,69.2,HIGH,54,0.6777,17,True,25,62.6,30,40,10,0,0,0,0,flashover marks,significant defect observed; flashover marks.,10.2,False,HIGH,False,6.17,44,MEDIUM,False
