task_id,asset_id,department,asset_type,asset_age_years,asset_criticality,defect_type,defect_severity,num_open_defects,days_since_defect,days_overdue,maintenance_frequency,days_since_last_maintenance,previous_failures,failures_last_12_months,trains_per_day,goods_trains_per_day,operational_impact,maintenance_duration_hours,urgent
TSK-IR-000001,AST-SNT-02804,S&T,Electronic Interlocking (EI Rack),3.6,HIGH,Vital Input/Output Card Communication Error,HIGH,1,8,6,Monthly,40,3,1,119,50,HIGH,2.89,0
TSK-IR-000002,AST-SNT-01388,S&T,Electronic Interlocking (EI Rack),5.3,CRITICAL,Vital Input/Output Card Communication Error,HIGH,2,18,18,Monthly,60,4,1,50,9,MEDIUM,2.97,1
TSK-IR-000003,AST-ENG-02878,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),2.6,HIGH,Check Rail Clearance Deviation,MEDIUM,2,34,27,Monthly,68,1,2,48,17,MEDIUM,2.73,0
TSK-IR-000004,AST-ENG-03312,Engineering,Rails (60kg/52kg),12.5,MEDIUM,Squat (Rolling Contact Fatigue),CRITICAL,2,6,14,Monthly,52,0,0,109,41,MEDIUM,3.8,0
TSK-IR-000005,AST-TRD-00027,Traction,Neutral Section (PTFE type),4.4,HIGH,Transition Joint Loose / Uneven,HIGH,4,22,5,Fortnightly,27,0,1,137,60,HIGH,5.13,1
TSK-IR-000006,AST-TRD-02980,Traction,Neutral Section (PTFE type),8.3,HIGH,PTFE Insulating Rod Tracking & Surface Arcing,CRITICAL,2,6,0,Quarterly,100,4,0,58,15,HIGH,3.69,1
TSK-IR-000007,AST-TRD-01488,Traction,25kV Vacuum Circuit Breaker (VCB),11.6,HIGH,Vacuum Bottle Contact Resistance High,HIGH,4,19,2,Quarterly,97,8,4,65,23,HIGH,4.11,1
TSK-IR-000008,AST-SNT-03267,S&T,Signalling Power Supply / IPS,3.8,CRITICAL,DC-DC Converter Ripple Exceeds Limit,LOW,1,44,3,Half-Yearly,187,3,1,34,11,MEDIUM,1.9,0
TSK-IR-000009,AST-ENG-01632,Engineering,Prestressed Concrete Sleepers (PSC),16.0,LOW,Insert Loose / Corroded,HIGH,2,7,13,Monthly,42,5,0,27,4,LOW,2.68,0
TSK-IR-000010,AST-TRD-02742,Traction,Section Insulator Assembly,6.3,CRITICAL,Section Insulator Sag / Level Defect,HIGH,2,25,3,Monthly,40,4,0,131,46,CRITICAL,3.61,1
TSK-IR-000011,AST-ENG-03193,Engineering,Rails (60kg/52kg),5.3,CRITICAL,Gauge Corner Cracking (GCC),HIGH,1,11,0,Quarterly,94,1,1,25,3,HIGH,2.87,0
TSK-IR-000012,AST-SNT-00961,S&T,DC Track Circuit (TC),0.9,CRITICAL,Track Relay Drop / False Occupancy,MEDIUM,1,55,41,Monthly,81,6,2,79,44,HIGH,1.97,1
TSK-IR-000013,AST-ENG-04138,Engineering,Elastic Rail Clip & Fastenings,3.9,MEDIUM,Missing / Broken Elastic Rail Clips (ERC),MEDIUM,2,23,18,Fortnightly,32,1,0,184,91,HIGH,2.07,0
TSK-IR-000014,AST-SNT-01597,S&T,Electric Point Machine (IRS/Siemens),7.0,HIGH,Ground Connection Rod Bush Wear,MEDIUM,1,34,3,Fortnightly,21,4,3,51,11,HIGH,1.31,0
TSK-IR-000015,AST-ENG-02145,Engineering,Girder Bridge / Culvert Bearing,9.2,CRITICAL,Bed Block Structural Crack,HIGH,1,7,5,Annual,379,0,0,32,6,MEDIUM,4.01,1
TSK-IR-000016,AST-ENG-01107,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),8.4,HIGH,Tongue Rail Chipping / Wear,HIGH,1,18,6,Weekly,23,1,0,123,58,CRITICAL,5.55,0
TSK-IR-000017,AST-SNT-01633,S&T,Interlocked Level Crossing (LC Gate),9.4,CRITICAL,Warning Hooter & Flashers Disconnected,HIGH,3,18,1,Weekly,12,1,0,187,89,CRITICAL,2.79,1
TSK-IR-000018,AST-TRD-02113,Traction,Contact Wire (107/150 sq mm Cu),6.5,CRITICAL,Local Kink / Arc Blemish,HIGH,3,24,18,Quarterly,108,2,0,180,69,CRITICAL,5.35,1
TSK-IR-000019,AST-SNT-02249,S&T,Electronic Interlocking (EI Rack),7.7,CRITICAL,Optical Fiber Communication Loss,HIGH,2,7,2,Monthly,30,3,3,120,55,HIGH,1.94,1
TSK-IR-000020,AST-ENG-03355,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),11.2,HIGH,Stretcher Bar Distortion,HIGH,3,32,9,Weekly,25,3,2,31,10,MEDIUM,4.4,0
