asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality,asset_criticality_score,scheduled_services_count_proxy,traffic_percentile,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,operational_impact_score,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_365d,failures_last_90d,failures_last_30d,same_defect_recurrences_365d,inspection_image_available,total_events_logged,last_recorded_event_id,last_recorded_date
AST-000001,S&T,Colour Light Signal,movement authority indication,NEC,NEMILICHERRY HALT,SR,Tamil Nadu,SEC-NEC-PRWS,13.8,CRITICAL,81.0,130.0,0.9033,3.0,1,65.0,69.9,30.0,34,4.0,0,0,0,0,0,1,EVT-0006730,2026-02-18
AST-000002,Engineering,Points & Crossing,route setting and derailment prevention,SOG,SURATGARH JN,NWR,Rajasthan,SEC-SOG-BNSR,1.3,HIGH,70.8,30.0,0.5148,6.0,1,12.0,54.0,14.0,13,0.0,1,0,0,0,0,2,EVT-0002871,2025-07-01
AST-000003,S&T,Track Circuit,train detection,TEP,Tempa,SECR,Maharashtra,SEC-TEP-BHRH,0.6,HIGH,60.2,6.0,0.1827,2.0,0,3.0,33.1,30.0,133,103.0,0,0,0,0,1,4,EVT-0009671,2026-08-11
AST-000004,S&T,Point Machine,route setting,KOTA,KOTA JN,WCR,Rajasthan,SEC-KOTA-KCCN,2.7,CRITICAL,85.3,129.0,0.9025,7.0,1,74.0,79.0,14.0,233,219.0,0,0,0,0,0,3,EVT-0008124,2026-05-10
AST-000005,Traction,Cantilever Assembly,OHE geometry,MGMY,MUGHAL SARAI MARSHALING YARD,NER,Uttar Pradesh,SEC-MGMY-MGSO,10.3,MEDIUM,55.3,18.0,0.3888,5.0,1,5.0,43.2,30.0,76,46.0,0,0,0,0,1,1,EVT-0003739,2025-08-25
AST-000006,S&T,Electronic Interlocking,route locking and conflict prevention,THA,Tehta,ECR,Bihar,SEC-THA-NZP,4.8,HIGH,73.5,36.0,0.5623,3.0,1,18.0,49.3,30.0,52,22.0,0,0,0,0,0,5,EVT-0006928,2026-03-01
AST-000007,Engineering,Rail/Track Section,direct train running safety,KVN,KAVANUR,SR,Tamil Nadu,SEC-KVN-VJ,6.8,HIGH,75.2,158.0,0.9526,3.0,1,86.0,71.2,30.0,409,379.0,0,0,0,0,1,3,EVT-0009015,2026-07-04
AST-000008,Engineering,Points & Crossing,route setting and derailment prevention,VYK,VILAYATKALAN RD,WCR,Madhya Pradesh,SEC-VYK-RPD,3.9,HIGH,71.6,36.0,0.5623,2.0,0,18.0,56.8,14.0,39,25.0,0,0,0,0,0,3,EVT-0006568,2026-02-09
AST-000009,Engineering,Points & Crossing,route setting and derailment prevention,PAR,PANDHURNA,SECR,Madhya Pradesh,SEC-PAR-DDMT,14.1,CRITICAL,81.6,125.0,0.895,2.0,0,76.0,77.6,14.0,9,0.0,0,0,0,0,0,2,EVT-0006682,2026-02-15
AST-000010,Traction,OHE Contact/Catenary,traction power collection,HNG,HIRANGAON,NCR,Uttar Pradesh,SEC-HNG-TDL,4.5,CRITICAL,78.7,189.0,0.9836,6.0,1,90.0,81.8,30.0,85,55.0,2,1,0,1,1,4,EVT-0008440,2026-05-28
AST-000011,Traction,Section Insulator,electrical sectioning,JSP,JAYASINGPUR,CR,Maharashtra,SEC-JSP-NMGT,8.4,MEDIUM,54.5,38.0,0.5758,2.0,1,11.0,41.3,30.0,49,19.0,0,0,0,0,1,5,EVT-0006563,2026-02-09
